[2026-03-13 21:50:22]  Downloads: found 3 archive(s) in 1 location(s)
[2026-03-13 21:50:23]  Mod Manager ready. 1/31 games configured.
[2026-03-13 21:50:23]  Linux mode active. Using CustomTkinter UI framework.
[2026-03-13 21:50:23]  Nexus Mods API key loaded.
[2026-03-13 21:50:23]  NXM protocol handler registered.
[2026-03-13 21:50:23]  NXM IPC server listening on /run/user/1000/amethyst-mod-manager.sock
[2026-03-13 21:50:23]  Nexus: logged in as DubiousPhoenix (premium=False)
[2026-03-13 21:50:24]  Filemap updated: 34900 file(s).
[2026-03-13 21:50:26]  Restore: saving ShaderCache to overwrite/ ...
[2026-03-13 21:50:31]  Fetching latest masterlist_skyrimse.yaml...
[2026-03-13 21:50:32]  Updated masterlist_skyrimse.yaml.
[2026-03-13 21:50:32]  Fetching latest masterlist_prelude.yaml...
[2026-03-13 21:50:32]  Updated masterlist_prelude.yaml.
[2026-03-13 21:50:32]  Initializing LOOT...
[2026-03-13 21:50:33]  Loaded masterlist with prelude.
[2026-03-13 21:50:33]  Loading 259 plugin headers...
[2026-03-13 21:50:33]  Sorting 259 plugins...
[2026-03-13 21:50:35]  Sort complete. 0 plugin(s) changed position.
[2026-03-13 21:50:35]  Load order is already sorted.
[2026-03-13 21:50:37]    Saved ShaderCache → overwrite/ShaderCache/
[2026-03-13 21:50:37]  Restore: removing plugins.txt symlink ...
[2026-03-13 21:50:37]    Removed plugins.txt symlink from prefix.
[2026-03-13 21:50:37]  Restore: restoring launcher ...
[2026-03-13 21:50:37]    Restored SkyrimSELauncher.exe from .bak.
[2026-03-13 21:50:37]  Restore: clearing Data/ and moving Data_Core/ back ...
[2026-03-13 21:50:38]    Removed 31492 file(s) from Data/.
[2026-03-13 21:50:38]    Restored 34 file(s). Data_Core/ removed.
[2026-03-13 21:50:38]  Restore complete.
[2026-03-13 21:50:38]  Backup: modlist.txt
[2026-03-13 21:50:38]  Backup: plugins.txt
[2026-03-13 21:50:38]  Backup: plugin_locks.json
[2026-03-13 21:50:38]  Backup: removed oldest 20260312_122536
[2026-03-13 21:50:38]  Step 1: Saving ShaderCache to overwrite/ ...
[2026-03-13 21:50:38]  Step 2: Moving Data/ → Data_Core/ ...
[2026-03-13 21:50:38]    Moved 34 file(s) to Data_Core/.
[2026-03-13 21:50:38]  Step 3: Transferring mod files into Data/ (HARDLINK) ...
[2026-03-13 21:50:42]    Transferred 34900 mod file(s).
[2026-03-13 21:50:42]  Step 4: Filling gaps with vanilla files from Data_Core/ ...
[2026-03-13 21:50:42]    Transferred 25 vanilla file(s).
[2026-03-13 21:50:42]  Step 5: Deploying ShaderCache as full copy ...
[2026-03-13 21:50:42]    Copied ShaderCache from overwrite/ → Data/ (full copy).
[2026-03-13 21:50:42]  Step 6: Symlinking plugins.txt into Proton prefix ...
[2026-03-13 21:50:42]    Linked plugins.txt → /home/luther/.local/share/Steam/steamapps/compatdata/489830/pfx/drive_c/users/steamuser/AppData/Local/Skyrim Special Edition/plugins.txt
[2026-03-13 21:50:42]  Step 7: Swapping launcher for SKSE ...
[2026-03-13 21:50:42]    Renamed SkyrimSELauncher.exe → SkyrimSELauncher.bak.
[2026-03-13 21:50:42]    Copied skse64_loader.exe → SkyrimSELauncher.exe.
[2026-03-13 21:50:42]  Deploy complete. 34900 mod + 25 vanilla = 34925 total file(s) in Data/.
[2026-03-13 21:50:44]  Filemap updated: 34900 file(s).
[2026-03-13 21:51:57]  Run EXE: launching skse64_loader.exe via Proton - Experimental ...
